Bairros;Valores;Informações;Descricao
"Blumenau, Itoupava Norte
Cód.: SB-400";R$ 780.000,00;"3 quartos
2 suítes
2 vagas
120,0 m²";Apartamento no Bairro Itoupava Norte em Blumenau com 3 Dormitórios (2 suítes) e 120 m² - SB-400
"Blumenau, Ponta Aguda
Cód.: 5620";R$ 450.000,00;"2 quartos
1 vaga
66,0 m²";Apartamento no Bairro Ponta Aguda em Blumenau com 2 Dormitórios e 66 m² - 5620
"Blumenau, Vila Formosa
Cód.: 4452-V";R$ 400.000,00;"3 quartos
1 suíte
1 vaga
80,0 m²";Apartamento no Bairro Vila Formosa em Blumenau com 3 Dormitórios (1 suíte) e 80 m² - 4452-V
"Blumenau, Itoupava Central
Cód.: CA2019";R$ 895.000,00;"3 quartos
1 suíte
4 vagas
210,0 m²";Casa no Bairro Itoupava Central em Blumenau com 3 Dormitórios (1 suíte) e 210 m² - CA2019
"Blumenau, Velha
Cód.: 6005036";R$ 465.000,00;"3 quartos
1 suíte
2 vagas
111,7 m²";Apartamento no Bairro Velha em Blumenau com 3 Dormitórios (1 suíte) e 111.7 m² - 6005036
"Blumenau, Escola Agrícola
Cód.: 6005102";R$ 320.000,00;"3 quartos
1 vaga
81,8 m²";Apartamento no Bairro Escola Agrícola em Blumenau com 3 Dormitórios e 81.78 m² - 6005102
"Blumenau, Fortaleza
Cód.: 3825244";R$ 886.892,00;"3 quartos
1 suíte
2 vagas
151,0 m²";Casa no Bairro Fortaleza em Blumenau com 3 Dormitórios (1 suíte) e 151 m² - 3825244
"Blumenau, Salto Norte
Cód.: 4660344";R$ 899.000,00;"3 quartos
1 suíte
2 vagas
131,0 m²";Casa no Bairro Salto Norte em Blumenau com 3 Dormitórios (1 suíte) e 131 m² - 4660344
"Blumenau, Velha
Cód.: CA1437";R$ 1.450.000,00;"3 quartos
1 suíte
314,0 m²";Casa no Bairro Velha em Blumenau com 3 Dormitórios (1 suíte) e 314 m² - CA1437
"Blumenau, Velha
Cód.: 8095";R$ 745.000,00;"3 quartos
1 suíte
2 vagas
110,0 m²";Apartamento no Bairro Velha em Blumenau com 3 Dormitórios (1 suíte) e 110 m² - 8095
"Blumenau, Fortaleza Alta
Cód.: CA0213";R$ 1.499.000,00;"3 quartos
1 suíte
2 vagas";Casa no Bairro Fortaleza Alta em Blumenau com 3 Dormitórios (1 suíte) - CA0213
"Blumenau, Escola Agrícola
Cód.: 2040";R$ 490.000,00;"2 quartos
2 suítes
2 vagas
86,0 m²";Casa no Bairro Escola Agrícola em Blumenau com 2 Dormitórios (2 suítes) e 86 m² - 2040
"Blumenau, Salto Weissbach
Cód.: 4650";R$ 350.000,00;"3 quartos
1 vaga
95,0 m²";Apartamento no Bairro Salto Weissbach em Blumenau com 3 Dormitórios e 95 m² - 4650
"Blumenau, Fidelis
Cód.: 3823872";R$ 450.000,00;"3 quartos
1 suíte
2 vagas
110,0 m²";Casa no Bairro Fidelis em Blumenau com 3 Dormitórios (1 suíte) e 109.96 m² - 3823872
"Blumenau, Água Verde
Cód.: 3319282";R$ 275.000,00;"2 quartos
1 vaga
60,8 m²";Casa no Bairro Água Verde em Blumenau com 2 Dormitórios e 60.75 m² - 3319282
"Blumenau, Valparaiso
Cód.: 3824886";R$ 680.000,00;"3 quartos
1 suíte
1 vaga
130,0 m²";Casa no Bairro Valparaiso em Blumenau com 3 Dormitórios (1 suíte) e 130 m² - 3824886
"Blumenau, Itoupava Central
Cód.: 4191782";R$ 278.000,00;"2 quartos
1 vaga
68,3 m²";Casa no Bairro Itoupava Central em Blumenau com 2 Dormitórios e 68.26 m² - 4191782
"Blumenau, Itoupava Seca
Cód.: CA03039V";R$ 1.500.000,00;"5 quartos
3 suítes
3 vagas
299,5 m²";Casa no Bairro Itoupava Seca em Blumenau com 5 Dormitórios (3 suítes) e 299.54 m² - CA03039V
"Blumenau, Vila Nova
Cód.: AP0577";R$ 790.000,00;"3 quartos
3 suítes
3 vagas
110,0 m²";Apartamento no Bairro Vila Nova em Blumenau com 3 Dormitórios (3 suítes) e 110 m² - AP0577
"Blumenau, Água Verde
Cód.: AP329";R$ 449.000,00;"2 quartos
1 suíte
2 vagas
74,0 m²";Apartamento no Bairro Água Verde em Blumenau com 2 Dormitórios (1 suíte) e 74 m² - AP329
"Blumenau, Água Verde
Cód.: 248";R$ 599.000,00;"3 quartos
1 suíte
2 vagas";Casa no Bairro Água Verde em Blumenau com 3 Dormitórios (1 suíte) - 248
"Blumenau, Velha
Cód.: 3319293";R$ 800.000,00;"3 quartos
3 suítes
2 vagas
111,0 m²";Apartamento no Bairro Velha em Blumenau com 3 Dormitórios (3 suítes) e 110.98 m² - 3319293
"Blumenau, Escola Agrícola
Cód.: 4660315";R$ 335.000,00;"2 quartos
1 vaga
57,0 m²";Apartamento no Bairro Escola Agrícola em Blumenau com 2 Dormitórios e 57 m² - 4660315
"Blumenau, Escola Agrícola
Cód.: AP0346";R$ 560.000,00;"2 quartos
1 suíte
2 vagas
75,0 m²";Apartamento no Bairro Escola Agrícola em Blumenau com 2 Dormitórios (1 suíte) e 75 m² - AP0346
"Blumenau, Itoupava Seca
Cód.: 9575";R$ 584.261,00;"2 quartos
2 suítes
2 vagas
70,0 m²";Apartamento no Bairro Itoupava Seca em Blumenau com 2 Dormitórios (2 suítes) e 70 m² - 9575
