Bairros;Valores;Informações;Descricao
"Blumenau, Água Verde
Cód.: 3690738";R$ 1.100.000,00;"3 quartos
3 suítes
2 vagas
204,0 m²";Casa no Bairro Água Verde em Blumenau com 3 Dormitórios (3 suítes) e 204 m² - 3690738
"Blumenau, Água Verde
Cód.: 3690739";R$ 1.100.000,00;"3 quartos
3 suítes
2 vagas
204,0 m²";Casa no Bairro Água Verde em Blumenau com 3 Dormitórios (3 suítes) e 204 m² - 3690739
"Blumenau, Água Verde
Cód.: 3690736";R$ 1.100.000,00;"3 quartos
3 suítes
2 vagas
204,0 m²";Casa no Bairro Água Verde em Blumenau com 3 Dormitórios (3 suítes) e 204 m² - 3690736
"Blumenau, Água Verde
Cód.: 3690735";R$ 1.100.000,00;"3 quartos
3 suítes
2 vagas
204,0 m²";Casa no Bairro Água Verde em Blumenau com 3 Dormitórios (3 suítes) e 204 m² - 3690735
"Blumenau, Água Verde
Cód.: 3690734";R$ 1.100.000,00;"3 quartos
3 suítes
2 vagas
204,0 m²";Casa no Bairro Água Verde em Blumenau com 3 Dormitórios (3 suítes) e 204 m² - 3690734
"Blumenau, Velha
Cód.: 6004160";R$ 1.100.000,00;"3 quartos
3 suítes
4 vagas
260,0 m²";Casa no Bairro Velha em Blumenau com 3 Dormitórios (3 suítes) e 260 m² - 6004160
"Blumenau, Água Verde
Cód.: 1336200";R$ 1.100.000,00;"3 quartos
3 suítes
2 vagas
208,0 m²";Casa no Bairro Água Verde em Blumenau com 3 Dormitórios (3 suítes) e 208 m² - 1336200
"Blumenau, Água Verde
Cód.: 6582069";R$ 1.100.000,00;"3 quartos
3 suítes
2 vagas
204,3 m²";Casa no Bairro Água Verde em Blumenau com 3 Dormitórios (3 suítes) e 204.28 m² - 6582069
"Blumenau, Jardim Blumenau
Cód.: 3771273";R$ 1.100.000,00;"3 quartos
3 suítes
3 vagas
125,0 m²";Apartamento no Bairro Jardim Blumenau em Blumenau com 3 Dormitórios (3 suítes) e 125 m² - 3771273
"Blumenau, Vila Nova
Cód.: CA0175";R$ 1.100.000,00;"3 quartos
1 suíte
2 vagas
135,0 m²";Casa no Bairro Vila Nova em Blumenau com 3 Dormitórios (1 suíte) e 135 m² - CA0175
"Blumenau, Vila Nova
Cód.: 4380398";R$ 1.100.000,00;"3 quartos
3 suítes
3 vagas";Apartamento no Bairro Vila Nova em Blumenau com 3 Dormitórios (3 suítes) - 4380398
"Blumenau, Victor Konder
Cód.: 3319480";R$ 1.100.000,00;"3 quartos
3 suítes
2 vagas
174,5 m²";Apartamento no Bairro Victor Konder em Blumenau com 3 Dormitórios (3 suítes) e 174.45 m² - 3319480
"Blumenau, Jardim Blumenau
Cód.: AP1451";R$ 1.100.000,00;"3 quartos
3 suítes
3 vagas
122,0 m²";Apartamento no Bairro Jardim Blumenau em Blumenau com 3 Dormitórios (3 suítes) e 122 m² - AP1451
"Blumenau, Ponta Aguda
Cód.: 4160143";R$ 1.100.000,00;"3 quartos
3 suítes
4 vagas
203,0 m²";Casa no Bairro Ponta Aguda em Blumenau com 3 Dormitórios (3 suítes) e 203 m² - 4160143
"Blumenau, Jardim Blumenau
Cód.: AP1765";R$ 1.100.000,00;"3 quartos
3 suítes
3 vagas
118,0 m²";Apartamento no Bairro Jardim Blumenau em Blumenau com 3 Dormitórios (3 suítes) e 118 m² - AP1765
"Blumenau, Itoupava Norte
Cód.: 35717635";R$ 1.100.000,00;"5 quartos
1 suíte
4 vagas
244,5 m²";Casa no Bairro Itoupava Norte em Blumenau com 5 Dormitórios (1 suíte) e 244.5 m² - 35717635
"Blumenau, Itoupava Norte
Cód.: 3276";R$ 1.100.000,00;"5 quartos
1 suíte
244,5 m²";Casa no Bairro Itoupava Norte em Blumenau com 5 Dormitórios (1 suíte) e 244.5 m² - 3276
"Blumenau, Vila Nova
Cód.: 3319504";R$ 1.100.000,00;"3 quartos
3 suítes
2 vagas
158,0 m²";Apartamento no Bairro Vila Nova em Blumenau com 3 Dormitórios (3 suítes) e 158 m² - 3319504
"Blumenau, Vila Nova
Cód.: 6312017";R$ 1.100.000,00;"3 quartos
1 suíte
2 vagas
158,0 m²";Apartamento no Bairro Vila Nova em Blumenau com 3 Dormitórios (1 suíte) e 158 m² - 6312017
"Blumenau, Velha
Cód.: 1530";R$ 1.100.000,00;"3 quartos
3 suítes
4 vagas
205,0 m²";Casa no Bairro Velha em Blumenau com 3 Dormitórios (3 suítes) e 205 m² - 1530
"Blumenau, Garcia
Cód.: 5430367";R$ 1.100.000,00;"4 quartos
2 suítes
2 vagas
209,7 m²";Apartamento no Bairro Garcia em Blumenau com 4 Dormitórios (2 suítes) e 209.7 m² - 5430367
"Blumenau, Garcia
Cód.: 3318498";R$ 1.100.000,00;"4 quartos
2 suítes
2 vagas
209,7 m²";Apartamento no Bairro Garcia em Blumenau com 4 Dormitórios (2 suítes) e 209.67 m² - 3318498
"Blumenau, Garcia
Cód.: 3081";R$ 1.100.000,00;"4 quartos
2 suítes
2 vagas
210,0 m²";Apartamento no Bairro Garcia em Blumenau com 4 Dormitórios (2 suítes) e 210 m² - 3081
"Blumenau, Boa Vista
Cód.: 2885";R$ 1.100.000,00;"4 quartos
2 suítes
4 vagas
295,0 m²";Casa no Bairro Boa Vista em Blumenau com 4 Dormitórios (2 suítes) e 295 m² - 2885
"Blumenau, Fortaleza
Cód.: CA0668";R$ 1.100.000,00;"3 quartos
1 suíte
2 vagas
260,0 m²";Casa no Bairro Fortaleza em Blumenau com 3 Dormitórios (1 suíte) e 260 m² - CA0668
"Blumenau, Água Verde
Cód.: CA1041";R$ 1.100.000,00;"3 quartos
1 suíte
4 vagas
282,0 m²";Casa no Bairro Água Verde em Blumenau com 3 Dormitórios (1 suíte) e 282 m² - CA1041
"Blumenau, Itoupava Norte
Cód.: 6160725";R$ 1.100.000,00;"6 quartos
1 suíte
3 vagas
340,0 m²";Casa no Bairro Itoupava Norte em Blumenau com 6 Dormitórios (1 suíte) e 340 m² - 6160725
"Blumenau, Garcia
Cód.: CA0291";R$ 1.100.000,00;"5 quartos
3 suítes
3 vagas
384,0 m²";Casa no Bairro Garcia em Blumenau com 5 Dormitórios (3 suítes) e 384 m² - CA0291
"Blumenau, Nova Esperança
Cód.: CA02730V";R$ 1.100.000,00;"4 quartos
1 suíte
2 vagas
250,0 m²";Casa no Bairro Nova Esperança em Blumenau com 4 Dormitórios (1 suíte) e 250 m² - CA02730V
"Blumenau, Itoupava Central
Cód.: CA1561";R$ 1.100.000,00;"5 quartos
4 suítes
4 vagas
399,0 m²";Casa no Bairro Itoupava Central em Blumenau com 5 Dormitórios (4 suítes) e 399 m² - CA1561
"Blumenau, Itoupava Central
Cód.: CA02474V";R$ 1.100.000,00;"5 quartos
5 suítes
5 vagas
417,0 m²";Casa no Bairro Itoupava Central em Blumenau com 5 Dormitórios (5 suítes) e 417 m² - CA02474V
"Blumenau, Escola Agrícola
Cód.: 6160727";R$ 1.100.000,00;"4 quartos
4 suítes
4 vagas
300,0 m²";Casa no Bairro Escola Agrícola em Blumenau com 4 Dormitórios (4 suítes) e 300 m² - 6160727
"Blumenau, Progresso
Cód.: CA03093V";R$ 1.100.000,00;"6 quartos
3 suítes
8 vagas
336,0 m²";Casa no Bairro Progresso em Blumenau com 6 Dormitórios (3 suítes) e 336 m² - CA03093V
"Blumenau, Velha
Cód.: A80056";R$ 1.100.000,00;"2 quartos
2 suítes
4 vagas
147,0 m²";Casa no Bairro Velha em Blumenau com 2 Dormitórios (2 suítes) e 147 m² - A80056
"Blumenau, Velha
Cód.: CA1082";R$ 1.100.000,00;"2 quartos
2 suítes
4 vagas
247,0 m²";Casa no Bairro Velha em Blumenau com 2 Dormitórios (2 suítes) e 247 m² - CA1082
"Blumenau, Itoupava Norte
Cód.: CA0068";R$ 1.100.000,00;"4 quartos
1 suíte
8 vagas
320,0 m²";Casa no Bairro Itoupava Norte em Blumenau com 4 Dormitórios (1 suíte) e 320 m² - CA0068
"Blumenau, Ponta Aguda
Cód.: CA03077V";R$ 1.100.000,00;"3 quartos
1 suíte
2 vagas
174,0 m²";Casa no Bairro Ponta Aguda em Blumenau com 3 Dormitórios (1 suíte) e 174 m² - CA03077V
"Blumenau, Vila Nova
Cód.: AP1441";R$ 1.115.000,00;"3 quartos
1 suíte
2 vagas
111,0 m²";Apartamento no Bairro Vila Nova em Blumenau com 3 Dormitórios (1 suíte) e 111 m² - AP1441
"Blumenau, Vila Nova
Cód.: AP08097V";R$ 1.140.000,00;"3 quartos
1 suíte
2 vagas
111,1 m²";Apartamento no Bairro Vila Nova em Blumenau com 3 Dormitórios (1 suíte) e 111.09 m² - AP08097V
"Blumenau, Velha
Cód.: 6312028";R$ 1.140.703,00;"3 quartos
3 suítes
2 vagas
139,0 m²";Apartamento no Bairro Velha em Blumenau com 3 Dormitórios (3 suítes) e 139 m² - 6312028
"Blumenau, Jardim Blumenau
Cód.: AP1878";R$ 1.150.000,00;"3 quartos
1 suíte
2 vagas
126,0 m²";Apartamento no Bairro Jardim Blumenau em Blumenau com 3 Dormitórios (1 suíte) e 126 m² - AP1878
"Blumenau, Itoupava Norte
Cód.: CA02599V";R$ 1.150.000,00;"3 quartos
1 suíte
2 vagas";Casa no Bairro Itoupava Norte em Blumenau com 3 Dormitórios (1 suíte) - CA02599V
"Blumenau, Jardim Blumenau
Cód.: AP1643-V";R$ 1.150.000,00;"3 quartos
1 suíte
2 vagas
125,0 m²";Apartamento no Bairro Jardim Blumenau em Blumenau com 3 Dormitórios (1 suíte) e 125 m² - AP1643-V
"Blumenau, Jardim Blumenau
Cód.: 5490020";R$ 1.150.000,00;"2 quartos
2 suítes
3 vagas
117,9 m²";Apartamento no Bairro Jardim Blumenau em Blumenau com 2 Dormitórios (2 suítes) e 117.9 m² - 5490020
"Blumenau, Itoupava Norte
Cód.: 3819";R$ 1.150.000,00;"3 quartos
1 suíte
5 vagas
240,5 m²";Casa no Bairro Itoupava Norte em Blumenau com 3 Dormitórios (1 suíte) e 240.46 m² - 3819
"Blumenau, Velha
Cód.: 4112585";R$ 1.150.000,00;"3 quartos
3 suítes
4 vagas
143,0 m²";Apartamento no Bairro Velha em Blumenau com 3 Dormitórios (3 suítes) e 142.96 m² - 4112585
"Blumenau, Vorstadt
Cód.: AP04532V";R$ 1.150.000,00;"3 quartos
3 suítes
2 vagas
189,0 m²";Apartamento no Bairro Vorstadt em Blumenau com 3 Dormitórios (3 suítes) e 189 m² - AP04532V
"Blumenau, Itoupava Norte
Cód.: 35717917";R$ 1.150.000,00;"3 quartos
1 suíte
5 vagas
240,5 m²";Casa no Bairro Itoupava Norte em Blumenau com 3 Dormitórios (1 suíte) e 240.46 m² - 35717917
"Blumenau, Badenfurt
Cód.: CA02111V";R$ 1.150.000,00;"3 quartos
1 suíte
2 vagas
240,0 m²";Casa no Bairro Badenfurt em Blumenau com 3 Dormitórios (1 suíte) e 240 m² - CA02111V
"Blumenau, Velha Central
Cód.: CA0507";R$ 1.150.000,00;"3 quartos
1 suíte
4 vagas
360,0 m²";Casa no Bairro Velha Central em Blumenau com 3 Dormitórios (1 suíte) e 360 m² - CA0507
"Blumenau, Velha Central
Cód.: CA0809";R$ 1.150.000,00;"4 quartos
1 suíte
5 vagas
360,0 m²";Casa no Bairro Velha Central em Blumenau com 4 Dormitórios (1 suíte) e 360 m² - CA0809
"Blumenau, Itoupavazinha
Cód.: 1724";R$ 1.150.000,00;"4 quartos
1 suíte
1 vaga
250,0 m²";Casa no Bairro Itoupavazinha em Blumenau com 4 Dormitórios (1 suíte) e 250 m² - 1724
"Blumenau, Fortaleza
Cód.: 4190933";R$ 1.150.000,00;"3 quartos
1 suíte
2 vagas
200,0 m²";Casa no Bairro Fortaleza em Blumenau com 3 Dormitórios (1 suíte) e 200 m² - 4190933
"Blumenau, Fortaleza
Cód.: A80042";R$ 1.150.000,00;"4 quartos
2 suítes
2 vagas
340,0 m²";Casa no Bairro Fortaleza em Blumenau com 4 Dormitórios (2 suítes) e 340 m² - A80042
"Blumenau, Salto Norte
Cód.: CA0035";R$ 1.150.000,00;"2 quartos
1 suíte
2 vagas
138,0 m²";Casa no Bairro Salto Norte em Blumenau com 2 Dormitórios (1 suíte) e 138 m² - CA0035
"Blumenau, Vila Nova
Cód.: AP0913";R$ 1.170.000,00;"3 quartos
3 suítes
2 vagas
120,0 m²";Apartamento no Bairro Vila Nova em Blumenau com 3 Dormitórios (3 suítes) e 120 m² - AP0913
"Blumenau, Velha
Cód.: AP08337V";R$ 1.170.000,00;"2 quartos
2 suítes
3 vagas
134,0 m²";Apartamento no Bairro Velha em Blumenau com 2 Dormitórios (2 suítes) e 134 m² - AP08337V
"Blumenau, Tribess
Cód.: CA0762";R$ 1.170.000,00;"3 quartos
1 suíte
2 vagas
188,0 m²";Casa no Bairro Tribess em Blumenau com 3 Dormitórios (1 suíte) e 188 m² - CA0762
"Blumenau, Tribess
Cód.: 4112519";R$ 1.170.000,00;"3 quartos
1 suíte
2 vagas
188,4 m²";Casa no Bairro Tribess em Blumenau com 3 Dormitórios (1 suíte) e 188.39 m² - 4112519
"Blumenau, Fortaleza
Cód.: SO0080";R$ 1.170.000,00;"3 quartos
1 suíte
2 vagas
188,0 m²";Casa no Bairro Fortaleza em Blumenau com 3 Dormitórios (1 suíte) e 188 m² - SO0080
"Blumenau, Fortaleza
Cód.: CA0282";R$ 1.170.000,00;"3 quartos
1 suíte
2 vagas
188,0 m²";Casa no Bairro Fortaleza em Blumenau com 3 Dormitórios (1 suíte) e 188 m² - CA0282
"Blumenau, Velha
Cód.: AP1822";R$ 1.170.000,00;"2 quartos
2 suítes
3 vagas
134,0 m²";Apartamento no Bairro Velha em Blumenau com 2 Dormitórios (2 suítes) e 134 m² - AP1822
"Blumenau, Velha
Cód.: CA0770";R$ 1.170.000,00;"4 quartos
1 suíte
5 vagas
199,0 m²";Casa no Bairro Velha em Blumenau com 4 Dormitórios (1 suíte) e 199 m² - CA0770
"Blumenau, Velha
Cód.: 5007011";R$ 1.175.000,00;"4 quartos
1 suíte
5 vagas
199,0 m²";Casa no Bairro Velha em Blumenau com 4 Dormitórios (1 suíte) e 199 m² - 5007011
"Blumenau, Victor Konder
Cód.: AP0875";R$ 1.180.000,00;"3 quartos
1 suíte
3 vagas
122,0 m²";Apartamento no Bairro Victor Konder em Blumenau com 3 Dormitórios (1 suíte) e 122 m² - AP0875
"Blumenau, Velha
Cód.: 4316";R$ 1.180.000,00;"3 quartos
3 suítes
3 vagas
121,0 m²";Apartamento no Bairro Velha em Blumenau com 3 Dormitórios (3 suítes) e 121 m² - 4316
"Blumenau, Victor Konder
Cód.: AP07316V";R$ 1.180.000,00;"4 quartos
4 suítes
3 vagas
226,4 m²";Apartamento no Bairro Victor Konder em Blumenau com 4 Dormitórios (4 suítes) e 226.38 m² - AP07316V
"Blumenau, Victor Konder
Cód.: 4112556";R$ 1.180.000,00;"4 quartos
4 suítes
2 vagas
226,4 m²";Apartamento no Bairro Victor Konder em Blumenau com 4 Dormitórios (4 suítes) e 226.38 m² - 4112556
"Blumenau, Jardim Blumenau
Cód.: 3318325";R$ 1.180.000,00;"3 quartos
1 suíte
2 vagas
247,0 m²";Apartamento no Bairro Jardim Blumenau em Blumenau com 3 Dormitórios (1 suíte) e 247 m² - 3318325
"Blumenau, Itoupava Norte
Cód.: 6004838";R$ 1.190.000,00;"3 quartos
3 suítes
3 vagas
171,0 m²";Apartamento no Bairro Itoupava Norte em Blumenau com 3 Dormitórios (3 suítes) e 171 m² - 6004838
"Blumenau, Fortaleza
Cód.: 3220";R$ 1.190.000,00;"3 quartos
1 suíte
4 vagas
169,1 m²";Casa no Bairro Fortaleza em Blumenau com 3 Dormitórios (1 suíte) e 169.08 m² - 3220
"Blumenau, Itoupava Norte
Cód.: CO0012";R$ 1.190.000,00;"3 quartos
3 suítes
3 vagas
171,0 m²";Apartamento no Bairro Itoupava Norte em Blumenau com 3 Dormitórios (3 suítes) e 171 m² - CO0012
"Blumenau, Itoupava Norte
Cód.: 4294";R$ 1.190.000,00;"3 quartos
1 suíte
3 vagas
171,1 m²";Apartamento no Bairro Itoupava Norte em Blumenau com 3 Dormitórios (1 suíte) e 171.07 m² - 4294
"Blumenau, Ponta Aguda
Cód.: AP1638";R$ 1.190.000,00;"3 quartos
2 suítes
3 vagas
129,0 m²";Apartamento no Bairro Ponta Aguda em Blumenau com 3 Dormitórios (2 suítes) e 129 m² - AP1638
"Blumenau, Salto
Cód.: 4330";R$ 1.190.000,00;"4 quartos
1 suíte
3 vagas
235,4 m²";Casa no Bairro Salto em Blumenau com 4 Dormitórios (1 suíte) e 235.37 m² - 4330
"Blumenau, Fidelis
Cód.: A80096";R$ 1.190.000,00;"3 quartos
1 suíte
4 vagas
200,0 m²";Casa no Bairro Fidelis em Blumenau com 3 Dormitórios (1 suíte) e 200 m² - A80096
"Blumenau, Vila Nova
Cód.: 4112709";R$ 1.190.000,00;"2 quartos
1 suíte
4 vagas
251,0 m²";Casa no Bairro Vila Nova em Blumenau com 2 Dormitórios (1 suíte) e 251 m² - 4112709
"Blumenau, Itoupava Norte
Cód.: 6004402";R$ 1.190.000,00;"3 quartos
1 suíte
3 vagas
269,0 m²";Casa no Bairro Itoupava Norte em Blumenau com 3 Dormitórios (1 suíte) e 269 m² - 6004402
"Blumenau, Garcia
Cód.: 6312126";R$ 1.190.000,00;"4 quartos
2 suítes
2 vagas
327,0 m²";Casa no Bairro Garcia em Blumenau com 4 Dormitórios (2 suítes) e 327 m² - 6312126
"Blumenau, Garcia
Cód.: CA02947V";R$ 1.190.000,00;"4 quartos
2 suítes
2 vagas
302,0 m²";Casa no Bairro Garcia em Blumenau com 4 Dormitórios (2 suítes) e 302 m² - CA02947V
"Blumenau, Água Verde
Cód.: CA02997V";R$ 1.190.000,00;"3 quartos
1 suíte
4 vagas
193,0 m²";Casa no Bairro Água Verde em Blumenau com 3 Dormitórios (1 suíte) e 193 m² - CA02997V
"Blumenau, Itoupava Seca
Cód.: CA0810";R$ 1.190.000,00;"4 quartos
1 suíte
3 vagas
235,0 m²";Casa no Bairro Itoupava Seca em Blumenau com 4 Dormitórios (1 suíte) e 235 m² - CA0810
"Blumenau, Jardim Blumenau
Cód.: 4160523";R$ 1.195.000,00;"4 quartos
1 suíte
2 vagas
309,0 m²";Apartamento no Bairro Jardim Blumenau em Blumenau com 4 Dormitórios (1 suíte) e 309 m² - 4160523
"Blumenau, Itoupava Norte
Cód.: CA0250";R$ 1.195.000,00;"4 quartos
1 suíte
2 vagas
267,0 m²";Casa no Bairro Itoupava Norte em Blumenau com 4 Dormitórios (1 suíte) e 267 m² - CA0250
"Blumenau, Vila Nova
Cód.: AP06902V";R$ 1.198.000,00;"3 quartos
3 suítes
2 vagas
125,0 m²";Apartamento no Bairro Vila Nova em Blumenau com 3 Dormitórios (3 suítes) e 125 m² - AP06902V
"Blumenau, Vila Nova
Cód.: AP1347";R$ 1.198.000,00;"3 quartos
3 suítes
2 vagas
125,0 m²";Apartamento no Bairro Vila Nova em Blumenau com 3 Dormitórios (3 suítes) e 125 m² - AP1347
"Blumenau, Vila Nova
Cód.: 6311621";R$ 1.198.000,00;"3 quartos
3 suítes
2 vagas
125,7 m²";Apartamento no Bairro Vila Nova em Blumenau com 3 Dormitórios (3 suítes) e 125.65 m² - 6311621
"Blumenau, Vila Nova
Cód.: 3318089";R$ 1.198.000,00;"3 quartos
3 suítes
2 vagas
126,0 m²";Apartamento no Bairro Vila Nova em Blumenau com 3 Dormitórios (3 suítes) e 126 m² - 3318089
"Blumenau, Itoupava Seca
Cód.: 4160052";R$ 1.199.000,00;"5 quartos
1 suíte
4 vagas
1.179,0 m²";Casa no Bairro Itoupava Seca em Blumenau com 5 Dormitórios (1 suíte) e 1179 m² - 4160052
"Blumenau, Velha
Cód.: CA0500";R$ 1.199.900,00;"3 quartos
1 suíte
228,0 m²";Casa no Bairro Velha em Blumenau com 3 Dormitórios (1 suíte) e 228 m² - CA0500
"Blumenau, Jardim Blumenau
Cód.: 4120883";R$ 1.200.000,00;"3 quartos
3 suítes
2 vagas
118,0 m²";Apartamento no Bairro Jardim Blumenau em Blumenau com 3 Dormitórios (3 suítes) e 118 m² - 4120883
"Blumenau, Velha
Cód.: L0333_1-3137939";R$ 1.200.000,00;"3 quartos
1 suíte
2 vagas
138,0 m²";Apartamento no Bairro Velha em Blumenau com 3 Dormitórios (1 suíte) e 138 m² - L0333_1-3137939
"Blumenau, Velha Central
Cód.: CA02610V";R$ 1.200.000,00;"3 quartos
1 suíte
2 vagas";Casa no Bairro Velha Central em Blumenau com 3 Dormitórios (1 suíte) - CA02610V
"Blumenau, Centro
Cód.: CA02591V";R$ 1.200.000,00;"4 quartos
1 suíte
2 vagas";Casa no Bairro Centro em Blumenau com 4 Dormitórios (1 suíte) - CA02591V
"Blumenau, Itoupava Norte
Cód.: CA02572V";R$ 1.200.000,00;"4 quartos
1 suíte
2 vagas";Casa no Bairro Itoupava Norte em Blumenau com 4 Dormitórios (1 suíte) - CA02572V
"Blumenau, Água Verde
Cód.: 0519";R$ 1.200.000,00;"3 quartos
1 suíte
5 vagas
475,0 m²";Casa no Bairro Água Verde em Blumenau com 3 Dormitórios (1 suíte) e 475 m² - 0519
"Blumenau, Velha
Cód.: CO0032";R$ 1.200.000,00;"3 quartos
1 suíte
2 vagas
138,0 m²";Apartamento no Bairro Velha em Blumenau com 3 Dormitórios (1 suíte) e 138 m² - CO0032
"Blumenau, Vila Nova
Cód.: 3318800";R$ 1.200.000,00;"3 quartos
3 suítes
2 vagas
160,0 m²";Apartamento no Bairro Vila Nova em Blumenau com 3 Dormitórios (3 suítes) e 160 m² - 3318800
"Blumenau, Salto Weissbach
Cód.: 6290433";R$ 1.200.000,00;"3 quartos
1 suíte
2 vagas
182,0 m²";Casa no Bairro Salto Weissbach em Blumenau com 3 Dormitórios (1 suíte) e 182 m² - 6290433
"Blumenau, Vila Nova
Cód.: 3290815";R$ 1.200.000,00;"3 quartos
2 suítes
2 vagas
150,0 m²";Apartamento no Bairro Vila Nova em Blumenau com 3 Dormitórios (2 suítes) e 150 m² - 3290815
"Blumenau, Vila Nova
Cód.: 3290309";R$ 1.200.000,00;"3 quartos
2 suítes
2 vagas
150,5 m²";Apartamento no Bairro Vila Nova em Blumenau com 3 Dormitórios (2 suítes) e 150.49 m² - 3290309
"Blumenau, Vorstadt
Cód.: 0043";R$ 1.200.000,00;"3 quartos
1 suíte
2 vagas
188,0 m²";Apartamento no Bairro Vorstadt em Blumenau com 3 Dormitórios (1 suíte) e 188 m² - 0043
"Blumenau, Jardim Blumenau
Cód.: 3460";R$ 1.200.000,00;"3 quartos
3 suítes
3 vagas
118,1 m²";Apartamento no Bairro Jardim Blumenau em Blumenau com 3 Dormitórios (3 suítes) e 118.06 m² - 3460
"Blumenau, Vila Nova
Cód.: AP1088";R$ 1.200.000,00;"3 quartos
3 suítes
2 vagas
160,0 m²";Apartamento no Bairro Vila Nova em Blumenau com 3 Dormitórios (3 suítes) e 160 m² - AP1088
"Blumenau, Velha
Cód.: 5006899";R$ 1.200.000,00;"6 quartos
1 suíte
2 vagas
230,0 m²";Casa no Bairro Velha em Blumenau com 6 Dormitórios (1 suíte) e 230 m² - 5006899
"Blumenau, Vorstadt
Cód.: AP1170";R$ 1.200.000,00;"3 quartos
3 suítes
2 vagas
189,0 m²";Apartamento no Bairro Vorstadt em Blumenau com 3 Dormitórios (3 suítes) e 189 m² - AP1170
"Blumenau, Jardim Blumenau
Cód.: AP1740";R$ 1.200.000,00;"3 quartos
3 suítes
3 vagas
118,0 m²";Apartamento no Bairro Jardim Blumenau em Blumenau com 3 Dormitórios (3 suítes) e 118 m² - AP1740
"Blumenau, Garcia
Cód.: CA03056V";R$ 1.200.000,00;"4 quartos
1 suíte
3 vagas
224,4 m²";Casa no Bairro Garcia em Blumenau com 4 Dormitórios (1 suíte) e 224.4 m² - CA03056V
"Blumenau, Velha
Cód.: 6004397";R$ 1.200.000,00;"4 quartos
2 suítes
2 vagas
250,0 m²";Casa no Bairro Velha em Blumenau com 4 Dormitórios (2 suítes) e 250 m² - 6004397
"Blumenau, Fortaleza Alta
Cód.: 1221";R$ 1.200.000,00;"3 quartos
1 suíte
2 vagas
255,0 m²";Casa no Bairro Fortaleza Alta em Blumenau com 3 Dormitórios (1 suíte) e 255 m² - 1221
"Blumenau, Jardim Blumenau
Cód.: 3317833";R$ 1.200.000,00;"3 quartos
3 suítes
3 vagas
223,0 m²";Apartamento no Bairro Jardim Blumenau em Blumenau com 3 Dormitórios (3 suítes) e 223 m² - 3317833
"Blumenau, Itoupava Seca
Cód.: GD0003";R$ 1.200.000,00;"3 quartos
2 suítes
2 vagas
209,0 m²";Apartamento no Bairro Itoupava Seca em Blumenau com 3 Dormitórios (2 suítes) e 209 m² - GD0003
"Blumenau, Jardim Blumenau
Cód.: 4160346";R$ 1.200.000,00;"3 quartos
3 suítes
3 vagas
223,0 m²";Apartamento no Bairro Jardim Blumenau em Blumenau com 3 Dormitórios (3 suítes) e 223 m² - 4160346
"Blumenau, Velha Central
Cód.: 4651645";R$ 1.200.000,00;"4 quartos
1 suíte
3 vagas
311,0 m²";Casa no Bairro Velha Central em Blumenau com 4 Dormitórios (1 suíte) e 311 m² - 4651645
"Blumenau, Velha Central
Cód.: CA0099";R$ 1.200.000,00;"4 quartos
1 suíte
3 vagas
265,0 m²";Casa no Bairro Velha Central em Blumenau com 4 Dormitórios (1 suíte) e 265 m² - CA0099
"Blumenau, Velha
Cód.: 5006922";R$ 1.200.000,00;"4 quartos
1 suíte
3 vagas
311,0 m²";Casa no Bairro Velha em Blumenau com 4 Dormitórios (1 suíte) e 311 m² - 5006922
"Blumenau, Itoupava Norte
Cód.: 35718741";R$ 1.200.000,00;"4 quartos
1 suíte
4 vagas
324,8 m²";Casa no Bairro Itoupava Norte em Blumenau com 4 Dormitórios (1 suíte) e 324.79 m² - 35718741
"Blumenau, Itoupava Norte
Cód.: 6003556";R$ 1.200.000,00;"7 quartos
1 suíte
4 vagas
343,0 m²";Casa no Bairro Itoupava Norte em Blumenau com 7 Dormitórios (1 suíte) e 343 m² - 6003556
"Blumenau, Ponta Aguda
Cód.: AP08144V";R$ 1.200.000,00;"4 quartos
1 suíte
2 vagas
234,0 m²";Apartamento no Bairro Ponta Aguda em Blumenau com 4 Dormitórios (1 suíte) e 234 m² - AP08144V
"Blumenau, Itoupava Norte
Cód.: 6005400";R$ 1.200.000,00;"4 quartos
1 suíte
4 vagas
324,8 m²";Casa no Bairro Itoupava Norte em Blumenau com 4 Dormitórios (1 suíte) e 324.79 m² - 6005400
"Blumenau, Itoupava Norte
Cód.: CA0041";R$ 1.200.000,00;"4 quartos
1 suíte
3 vagas
282,0 m²";Casa no Bairro Itoupava Norte em Blumenau com 4 Dormitórios (1 suíte) e 282 m² - CA0041
"Blumenau, Garcia
Cód.: 35718441";R$ 1.200.000,00;"4 quartos
1 suíte
1 vaga
283,0 m²";Apartamento no Bairro Garcia em Blumenau com 4 Dormitórios (1 suíte) e 283 m² - 35718441
"Blumenau, Velha
Cód.: 3082";R$ 1.200.000,00;"3 quartos
1 suíte
7 vagas
300,0 m²";Casa no Bairro Velha em Blumenau com 3 Dormitórios (1 suíte) e 300 m² - 3082
"Blumenau, Velha
Cód.: CA0408";R$ 1.200.000,00;"3 quartos
1 suíte
3 vagas
201,0 m²";Casa no Bairro Velha em Blumenau com 3 Dormitórios (1 suíte) e 201 m² - CA0408
"Blumenau, Vila Nova
Cód.: 35719899";R$ 1.200.000,00;"3 quartos
5 vagas
200,0 m²";Casa no Bairro Vila Nova em Blumenau com 3 Dormitórios e 200 m² - 35719899
