Bairros,Valores,Quartos,Suítes,Vagas,Tamanho,Tipo
Água Verde,630000.0,3.0,1.0,2.0,145.1,Casa
Velha,650000.0,2.0,1.0,2.0,75.0,Apartamento
Escola Agrícola,677000.0,3.0,3.0,2.0,106.6,Apartamento
Victor Konder,680000.0,3.0,1.0,2.0,144.9,Apartamento
Itoupava Central,699999.0,4.0,1.0,5.0,229.0,Casa
Itoupava Seca,725000.0,2.0,2.0,2.0,100.8,Apartamento
Victor Konder,730000.0,2.0,1.0,2.0,102.0,Apartamento
Itoupava Norte,745000.0,3.0,1.0,2.0,165.3,Casa
Velha,750000.0,3.0,1.0,2.0,154.0,Casa
Velha,780000.0,3.0,1.0,1.0,141.0,Casa
Velha,790000.0,3.0,1.0,2.0,95.5,Apartamento
Vila Nova,790000.0,3.0,3.0,3.0,111.0,Apartamento
Velha,848000.0,2.0,2.0,2.0,85.0,Apartamento
Vila Nova,850000.0,2.0,2.0,2.0,86.0,Apartamento
Velha,850000.0,3.0,1.0,4.0,220.0,Casa
Velha,900000.0,2.0,2.0,2.0,85.0,Apartamento
Velha,940000.0,3.0,1.0,4.0,285.0,Casa
Victor Konder,980000.0,4.0,2.0,3.0,180.0,Apartamento
Escola Agrícola,1090000.0,2.0,2.0,2.0,145.0,Casa
Jardim Blumenau,1150000.0,3.0,1.0,2.0,126.0,Apartamento
Victor Konder,1180000.0,4.0,4.0,3.0,226.0,Apartamento
Velha,1200000.0,3.0,1.0,4.0,300.0,Casa
Jardim Blumenau,1250000.0,3.0,3.0,2.0,151.0,Apartamento
Ponta Aguda,1900000.0,3.0,3.0,2.0,124.0,Apartamento
Jardim Blumenau,2000000.0,3.0,3.0,2.0,170.0,Apartamento
Escola Agrícola,2250000.0,4.0,3.0,4.0,327.0,Casa
Jardim Blumenau,2500000.0,3.0,3.0,5.0,265.0,Apartamento
Itoupava Central,2500000.0,3.0,1.0,5.0,324.0,Casa
Itoupava Seca,895000.0,3.0,1.0,1.0,91.0,Apartamento
Salto Norte,360000.0,2.0,0.0,1.0,62.0,Apartamento
Tribess,550000.0,2.0,1.0,2.0,73.0,Apartamento
Itoupava Seca,750000.0,2.0,1.0,2.0,70.0,Apartamento
Velha,399000.0,2.0,1.0,1.0,75.0,Apartamento
Água Verde,379000.0,2.0,2.0,2.0,68.5,Casa
Centro,620000.0,3.0,1.0,2.0,96.0,Apartamento
Ponta Aguda,1380000.0,3.0,3.0,2.0,204.0,Casa
Vila Nova,475000.0,3.0,1.0,2.0,83.0,Apartamento
Água Verde,355000.0,3.0,1.0,1.0,78.0,Apartamento
Água Verde,740000.0,3.0,1.0,2.0,279.3,Casa
Água Verde,1290000.0,3.0,3.0,2.0,201.0,Casa
Escola Agrícola,1800000.0,4.0,1.0,6.0,400.0,Casa
Itoupavazinha,289000.0,2.0,0.0,1.0,54.0,Apartamento
Victor Konder,980000.0,4.0,4.0,3.0,167.0,Apartamento
Vila Nova,450000.0,2.0,1.0,2.0,76.0,Apartamento
Velha,395000.0,2.0,2.0,1.0,77.0,Casa
Escola Agrícola,399999.0,2.0,0.0,2.0,82.4,Casa
Centro,2500000.0,4.0,4.0,3.0,601.0,Casa
Escola Agrícola,1850000.0,2.0,2.0,4.0,179.0,Casa
Passo Manso,565000.0,3.0,1.0,2.0,129.0,Casa
Badenfurt,249990.0,2.0,0.0,1.0,45.0,Apartamento
Itoupava Central,525000.0,3.0,1.0,2.0,137.6,Casa
Água Verde,485000.0,2.0,2.0,2.0,96.0,Casa
Fortaleza,298000.0,2.0,0.0,1.0,61.0,Apartamento
Itoupava Norte,480000.0,2.0,1.0,2.0,71.0,Apartamento
Itoupava Seca,650000.0,3.0,1.0,2.0,194.0,Apartamento
Garcia,420000.0,2.0,0.0,1.0,55.0,Apartamento
Velha Central,439900.0,2.0,2.0,1.0,80.0,Casa
Jardim Blumenau,1400000.0,3.0,3.0,2.0,155.0,Apartamento
Centro,399000.0,2.0,1.0,1.0,112.5,Apartamento
Velha,350000.0,2.0,0.0,1.0,53.0,Apartamento
Salto Norte,339000.0,2.0,2.0,2.0,83.3,Casa
Velha,550000.0,3.0,1.0,2.0,109.7,Apartamento
Vila Nova,360000.0,2.0,1.0,2.0,68.0,Apartamento
Itoupavazinha,232500.0,2.0,0.0,1.0,45.0,Apartamento
Itoupava Central,250000.0,2.0,0.0,1.0,62.0,Apartamento
Velha Central,295000.0,2.0,0.0,1.0,56.0,Apartamento
Itoupava Central,300000.0,2.0,0.0,2.0,73.0,Casa
Badenfurt,320000.0,2.0,0.0,1.0,45.0,Apartamento
Água Verde,324000.0,2.0,0.0,1.0,65.0,Apartamento
Itoupava Central,330000.0,2.0,0.0,2.0,62.5,Casa
Salto Norte,335000.0,2.0,1.0,1.0,65.0,Apartamento
Escola Agrícola,340000.0,2.0,1.0,1.0,63.0,Apartamento
Fortaleza Alta,340000.0,2.0,0.0,2.0,61.0,Casa
Salto Norte,350000.0,2.0,2.0,2.0,94.0,Casa
Fortaleza,360000.0,2.0,0.0,1.0,54.0,Apartamento
Fortaleza Alta,360000.0,2.0,2.0,2.0,75.0,Casa
Velha,375000.0,2.0,1.0,2.0,73.0,Apartamento
Tribess,380000.0,2.0,0.0,2.0,82.0,Casa
Salto,380000.0,2.0,0.0,1.0,73.6,Apartamento
Fortaleza,385629.0,2.0,1.0,1.0,61.5,Apartamento
Vila Nova,389000.0,2.0,0.0,1.0,45.0,Apartamento
Victor Konder,390000.0,2.0,0.0,1.0,54.0,Apartamento
Fortaleza,390000.0,3.0,0.0,1.0,92.0,Apartamento
Velha,395000.0,1.0,0.0,1.0,46.0,Apartamento
Fortaleza Alta,395000.0,2.0,0.0,2.0,85.1,Casa
Itoupava Central,420000.0,2.0,0.0,2.0,77.0,Casa
Fortaleza,425000.0,2.0,0.0,1.0,56.0,Apartamento
Água Verde,450000.0,2.0,2.0,1.0,107.0,Casa
Velha Central,455000.0,3.0,1.0,2.0,118.0,Casa
Tribess,460000.0,2.0,2.0,2.0,83.0,Casa
Passo Manso,460000.0,2.0,1.0,2.0,79.0,Apartamento
Itoupava Norte,463539.0,3.0,1.0,2.0,70.8,Apartamento
Água Verde,480000.0,3.0,1.0,1.0,72.0,Apartamento
Salto Weissbach,490000.0,2.0,0.0,2.0,66.0,Casa
Tribess,490000.0,3.0,1.0,2.0,130.0,Casa
Ponta Aguda,497000.0,0.0,0.0,7.0,200.0,Casa
Itoupava Norte,500000.0,3.0,0.0,2.0,93.0,Casa
Velha,530000.0,2.0,1.0,2.0,74.0,Apartamento
Boa Vista,532000.0,2.0,1.0,1.0,70.0,Apartamento
Fortaleza,550000.0,4.0,0.0,2.0,139.0,Casa
Itoupavazinha,550000.0,3.0,1.0,4.0,126.0,Casa
Escola Agrícola,550000.0,2.0,1.0,2.0,81.0,Apartamento
Salto Weissbach,570000.0,2.0,2.0,2.0,92.0,Apartamento
Água Verde,580000.0,2.0,1.0,2.0,75.0,Apartamento
Jardim Blumenau,599900.0,3.0,1.0,1.0,147.0,Apartamento
Itoupavazinha,615000.0,3.0,1.0,1.0,112.0,Casa
Escola Agrícola,620000.0,2.0,1.0,2.0,84.0,Apartamento
Vila Formosa,620000.0,3.0,1.0,2.0,113.0,Apartamento
Vila Nova,625000.0,2.0,1.0,2.0,72.0,Apartamento
Vorstadt,629000.0,3.0,3.0,1.0,103.0,Apartamento
Água Verde,630000.0,2.0,1.0,2.0,70.0,Apartamento
Centro,630000.0,3.0,1.0,2.0,96.0,Apartamento
Vorstadt,630000.0,3.0,1.0,2.0,105.0,Apartamento
Itoupava Central,649000.0,4.0,1.0,4.0,304.0,Casa
Tribess,649000.0,8.0,0.0,0.0,290.0,Casa
Velha,650000.0,2.0,1.0,1.0,85.0,Apartamento
Salto,650000.0,4.0,1.0,2.0,659.0,Casa
Tribess,650000.0,4.0,1.0,6.0,323.0,Casa
Água Verde,650000.0,2.0,2.0,2.0,84.0,Apartamento
Escola Agrícola,670000.0,3.0,3.0,2.0,106.0,Apartamento
Victor Konder,670000.0,2.0,1.0,1.0,78.0,Apartamento
Fortaleza Alta,680000.0,3.0,1.0,6.0,401.0,Casa
Passo Manso,680000.0,3.0,1.0,4.0,173.0,Casa
Itoupavazinha,680000.0,3.0,0.0,2.0,140.0,Casa
Velha,695000.0,3.0,1.0,2.0,141.0,Casa
Itoupava Seca,700000.0,2.0,1.0,2.0,71.0,Apartamento
Velha,700000.0,3.0,0.0,3.0,139.0,Casa
Escola Agrícola,710000.0,3.0,1.0,3.0,131.0,Casa
Itoupava Seca,725000.0,2.0,2.0,2.0,102.0,Apartamento
Velha,730000.0,3.0,1.0,2.0,125.0,Casa
Itoupava Seca,730000.0,2.0,2.0,2.0,84.9,Apartamento
Escola Agrícola,730000.0,2.0,1.0,2.0,77.5,Apartamento
Garcia,740000.0,2.0,2.0,3.0,145.0,Casa
Fidelis,740000.0,3.0,1.0,2.0,170.0,Casa
Testo Salto,745000.0,3.0,1.0,5.0,230.0,Casa
Tribess,749000.0,4.0,2.0,3.0,210.0,Casa
Fortaleza Alta,750000.0,3.0,2.0,2.0,117.0,Casa
Passo Manso,750000.0,3.0,1.0,2.0,168.0,Casa
Tribess,750000.0,3.0,1.0,3.0,121.0,Casa
