Bairros,Valores,Quartos,Suítes,Vagas,Tamanho,Tipo
Água Verde,285000.0,3.0,0.0,0.0,78.0,Apartamento
Itoupava Central,285000.0,2.0,0.0,1.0,68.0,Casa
Itoupava Central,285000.0,2.0,1.0,1.0,70.0,Apartamento
Passo Manso,286990.0,2.0,0.0,1.0,60.0,Apartamento
Itoupavazinha,289296.0,2.0,1.0,1.0,49.2,Apartamento
Itoupavazinha,289296.0,2.0,1.0,1.0,49.2,Apartamento
Itoupavazinha,289296.0,2.0,1.0,1.0,49.2,Apartamento
Itoupavazinha,289296.0,2.0,1.0,1.0,49.2,Apartamento
Água Verde,290000.0,2.0,0.0,1.0,50.0,Apartamento
Itoupavazinha,290000.0,2.0,0.0,3.0,50.2,Apartamento
Velha,290000.0,2.0,0.0,1.0,50.0,Apartamento
Escola Agrícola,290000.0,2.0,0.0,1.0,97.0,Apartamento
Água Verde,290000.0,3.0,0.0,1.0,78.0,Apartamento
Velha,290000.0,2.0,0.0,1.0,78.0,Apartamento
Itoupavazinha,290520.0,2.0,1.0,1.0,49.2,Apartamento
Itoupavazinha,290520.0,2.0,1.0,1.0,49.2,Apartamento
Itoupavazinha,290520.0,2.0,1.0,1.0,49.2,Apartamento
Itoupavazinha,290520.0,2.0,1.0,1.0,49.2,Apartamento
Itoupavazinha,290520.0,2.0,1.0,1.0,49.2,Apartamento
Itoupavazinha,290520.0,2.0,1.0,1.0,49.2,Apartamento
Itoupavazinha,290520.0,2.0,1.0,1.0,49.2,Apartamento
Itoupavazinha,290520.0,2.0,1.0,1.0,49.2,Apartamento
Itoupavazinha,290520.0,2.0,1.0,1.0,49.2,Apartamento
Itoupavazinha,290520.0,2.0,1.0,1.0,49.2,Apartamento
Itoupava Central,295000.0,2.0,1.0,1.0,54.0,Apartamento
Itoupava Central,295000.0,2.0,0.0,1.0,60.0,Casa
Salto Norte,295000.0,2.0,0.0,1.0,53.5,Apartamento
Badenfurt,295000.0,2.0,1.0,1.0,55.0,Apartamento
Salto Norte,298000.0,2.0,0.0,1.0,62.0,Apartamento
Itoupava Central,298000.0,2.0,0.0,1.0,78.0,Apartamento
Itoupava Central,299000.0,2.0,0.0,1.0,68.9,Casa
Itoupavazinha,299000.0,2.0,0.0,2.0,50.0,Apartamento
Itoupava Central,299000.0,2.0,0.0,1.0,68.2,Casa
Itoupavazinha,299796.0,2.0,1.0,1.0,49.2,Apartamento
Itoupavazinha,299796.0,2.0,1.0,1.0,49.2,Apartamento
Itoupavazinha,299796.0,2.0,1.0,1.0,49.2,Apartamento
Itoupavazinha,299796.0,2.0,1.0,1.0,49.2,Apartamento
Itoupava Norte,299900.0,2.0,0.0,1.0,74.0,Casa
Fortaleza,299990.0,2.0,0.0,1.0,67.0,Apartamento
Itoupava Central,300000.0,2.0,2.0,2.0,74.4,Casa
Itoupava Central,300000.0,2.0,0.0,1.0,58.3,Apartamento
Passo Manso,300000.0,3.0,1.0,1.0,77.9,Apartamento
Valparaiso,300000.0,3.0,0.0,1.0,103.0,Casa
Itoupavazinha,300520.0,2.0,1.0,1.0,49.2,Apartamento
Itoupavazinha,300820.0,2.0,1.0,2.0,49.2,Apartamento
Itoupava Norte,301000.0,2.0,0.0,1.0,58.0,Apartamento
Itoupavazinha,304900.0,2.0,1.0,2.0,49.2,Apartamento
Salto Norte,305000.0,2.0,2.0,1.0,52.0,Apartamento
Itoupava Central,306000.0,2.0,0.0,1.0,53.0,Apartamento
Itoupava Central,306000.0,2.0,0.0,1.0,53.0,Apartamento
Itoupavazinha,309000.0,2.0,0.0,1.0,45.9,Apartamento
Água Verde,309000.0,2.0,0.0,1.0,51.8,Apartamento
Itoupavazinha,309900.0,2.0,1.0,2.0,49.2,Apartamento
Fortaleza,310000.0,2.0,0.0,2.0,73.0,Casa
Ponta Aguda,310000.0,2.0,0.0,1.0,51.0,Apartamento
Nova Esperança,310000.0,2.0,0.0,1.0,53.8,Apartamento
Fortaleza,310202.0,2.0,1.0,1.0,60.0,Apartamento
Itoupava Norte,311000.0,2.0,0.0,1.0,54.0,Apartamento
Fortaleza,312000.0,2.0,0.0,1.0,54.1,Apartamento
Itoupava Central,312000.0,2.0,0.0,2.0,63.6,Casa
Itoupavazinha,312000.0,2.0,0.0,2.0,114.0,Casa
Itoupava Central,314642.0,2.0,1.0,1.0,60.0,Apartamento
Vila Nova,315000.0,1.0,0.0,1.0,44.0,Apartamento
Escola Agrícola,315000.0,2.0,0.0,1.0,48.9,Apartamento
Itoupava Norte,315000.0,2.0,0.0,1.0,54.5,Apartamento
Itoupavazinha,315360.0,2.0,1.0,1.0,49.2,Apartamento
Passo Manso,318000.0,3.0,1.0,2.0,89.0,Apartamento
Salto Norte,318000.0,2.0,1.0,2.0,61.0,Apartamento
Itoupava Central,318164.0,2.0,1.0,1.0,61.0,Apartamento
Itoupava Central,319000.0,2.0,0.0,1.0,53.0,Apartamento
Itoupava Central,319900.0,2.0,1.0,1.0,71.0,Apartamento
Velha,320000.0,2.0,0.0,2.0,62.0,Apartamento
Itoupava Central,320000.0,2.0,0.0,1.0,70.0,Apartamento
Salto Norte,320000.0,2.0,1.0,2.0,61.8,Apartamento
Velha,320000.0,2.0,0.0,2.0,53.3,Apartamento
Velha,320000.0,2.0,0.0,2.0,53.3,Apartamento
Itoupava Norte,320000.0,2.0,1.0,1.0,88.0,Apartamento
Fortaleza Alta,320000.0,2.0,0.0,2.0,93.6,Casa
Água Verde,320000.0,2.0,1.0,1.0,80.0,Apartamento
Velha,320000.0,3.0,1.0,1.0,79.0,Apartamento
Água Verde,320000.0,3.0,1.0,1.0,79.0,Apartamento
Passo Manso,320000.0,2.0,0.0,1.0,80.0,Casa
Itoupava Norte,322192.0,2.0,1.0,1.0,57.0,Apartamento
Itoupava Norte,325000.0,2.0,1.0,1.0,57.5,Apartamento
Itoupavazinha,326000.0,2.0,0.0,2.0,60.9,Casa
Itoupava Norte,328000.0,2.0,1.0,1.0,58.0,Apartamento
Itoupava Norte,328000.0,2.0,0.0,1.0,54.0,Apartamento
Testo Salto,328000.0,2.0,2.0,1.0,69.0,Casa
Salto Norte,329000.0,2.0,1.0,1.0,64.9,Apartamento
Itoupavazinha,329000.0,2.0,0.0,2.0,82.0,Casa
Itoupavazinha,329000.0,2.0,0.0,1.0,90.0,Casa
Salto Norte,329000.0,2.0,1.0,1.0,64.9,Apartamento
Itoupava Norte,330000.0,2.0,1.0,1.0,58.6,Apartamento
Itoupava Central,330000.0,2.0,1.0,2.0,100.0,Casa
Salto Norte,330000.0,2.0,0.0,1.0,54.0,Apartamento
Escola Agrícola,330000.0,2.0,1.0,1.0,72.0,Apartamento
Itoupava Central,330000.0,2.0,0.0,1.0,84.0,Apartamento
Itoupavazinha,330000.0,2.0,0.0,1.0,85.6,Casa
Itoupava Central,330000.0,2.0,0.0,1.0,65.0,Apartamento
Itoupavazinha,330000.0,2.0,2.0,2.0,87.8,Casa
Escola Agrícola,330000.0,2.0,1.0,1.0,63.6,Apartamento
Itoupavazinha,330000.0,2.0,2.0,2.0,83.0,Casa
Garcia,330000.0,3.0,0.0,1.0,208.0,Casa
Garcia,330000.0,3.0,0.0,1.0,208.0,Casa
Fidelis,330500.0,2.0,0.0,1.0,57.0,Apartamento
Itoupava Norte,334353.0,2.0,1.0,1.0,58.6,Apartamento
Salto,334990.0,2.0,0.0,1.0,56.0,Apartamento
Itoupava Central,334990.0,2.0,1.0,1.0,71.1,Apartamento
Escola Agrícola,335000.0,2.0,1.0,1.0,58.0,Apartamento
Salto Norte,335000.0,2.0,1.0,1.0,64.0,Apartamento
Itoupava Norte,338000.0,2.0,1.0,1.0,57.0,Apartamento
Itoupava Norte,338000.0,2.0,0.0,2.0,58.0,Apartamento
Itoupava Norte,338000.0,2.0,1.0,1.0,54.5,Apartamento
Fortaleza,338000.0,2.0,0.0,1.0,58.0,Apartamento
Passo Manso,339900.0,3.0,1.0,2.0,80.0,Apartamento
Fortaleza,340000.0,2.0,0.0,1.0,54.0,Apartamento
Fortaleza,340000.0,2.0,0.0,1.0,59.0,Apartamento
Fortaleza,340000.0,2.0,0.0,1.0,54.0,Apartamento
Passo Manso,340000.0,3.0,1.0,1.0,75.6,Apartamento
Ponta Aguda,340000.0,2.0,2.0,2.0,74.0,Casa
Itoupava Central,340000.0,2.0,1.0,1.0,70.0,Apartamento
Fortaleza,340000.0,2.0,0.0,1.0,54.7,Apartamento
Badenfurt,340000.0,2.0,2.0,2.0,85.0,Casa
Fortaleza,340000.0,2.0,0.0,1.0,56.0,Apartamento
Fortaleza,340000.0,2.0,0.0,1.0,51.0,Apartamento
Fortaleza,340000.0,2.0,0.0,1.0,52.0,Apartamento
Badenfurt,340000.0,2.0,1.0,1.0,64.0,Apartamento
Escola Agrícola,340000.0,2.0,1.0,1.0,63.0,Apartamento
Itoupava Norte,342000.0,2.0,1.0,1.0,57.0,Apartamento
Escola Agrícola,344500.0,2.0,1.0,1.0,63.6,Apartamento
Fortaleza,345000.0,2.0,2.0,2.0,68.9,Casa
Itoupava Norte,346000.0,2.0,0.0,1.0,80.0,Apartamento
Fortaleza,346000.0,2.0,1.0,1.0,60.0,Apartamento
Itoupava Norte,348000.0,2.0,0.0,1.0,54.5,Apartamento
Tribess,348000.0,2.0,2.0,2.0,84.0,Casa
Itoupava Central,349000.0,2.0,0.0,1.0,83.9,Casa
Valparaiso,349000.0,2.0,0.0,1.0,76.7,Apartamento
Salto,349000.0,2.0,1.0,2.0,100.0,Apartamento
Valparaiso,349000.0,7.0,2.0,12.0,374.0,Casa
Escola Agrícola,349707.0,2.0,0.0,1.0,54.0,Apartamento
Ponta Aguda,349900.0,2.0,2.0,2.0,84.0,Casa
Itoupava Central,349990.0,2.0,0.0,3.0,54.0,Casa
Salto Weissbach,350000.0,3.0,0.0,1.0,95.0,Apartamento
Água Verde,350000.0,2.0,0.0,2.0,61.4,Casa
Fortaleza,350000.0,2.0,0.0,1.0,67.4,Casa
Itoupavazinha,350000.0,2.0,1.0,2.0,61.8,Apartamento
Itoupavazinha,350000.0,2.0,1.0,2.0,71.0,Apartamento
Itoupavazinha,350000.0,2.0,1.0,2.0,62.0,Apartamento
Fortaleza,350000.0,2.0,0.0,1.0,67.0,Casa
Itoupava Central,350000.0,2.0,0.0,1.0,64.0,Apartamento
Ponta Aguda,350000.0,2.0,2.0,2.0,74.0,Casa
Ponta Aguda,350000.0,2.0,2.0,2.0,74.0,Casa
Itoupava Central,350000.0,2.0,1.0,1.0,69.0,Apartamento
Fortaleza,350000.0,0.0,0.0,0.0,76.9,Casa
Itoupavazinha,350000.0,2.0,0.0,1.0,64.0,Casa
Itoupavazinha,350000.0,2.0,2.0,2.0,93.0,Casa
Escola Agrícola,350000.0,2.0,1.0,1.0,64.0,Apartamento
Ponta Aguda,350000.0,2.0,2.0,2.0,84.0,Casa
Itoupava Central,350000.0,2.0,1.0,2.0,98.9,Casa
Ponta Aguda,350000.0,2.0,2.0,2.0,80.0,Casa
Badenfurt,350000.0,2.0,1.0,1.0,79.0,Apartamento
Fidelis,350000.0,2.0,2.0,2.0,68.0,Casa
Salto Weissbach,350000.0,3.0,1.0,1.0,108.0,Apartamento
Salto Weissbach,350000.0,3.0,0.0,1.0,112.0,Apartamento
Fortaleza,350000.0,2.0,1.0,2.0,68.0,Apartamento
Água Verde,350000.0,2.0,0.0,3.0,108.0,Casa
Centro,350000.0,7.0,0.0,1.0,380.0,Casa
Velha,350261.0,1.0,0.0,2.0,41.8,Apartamento
Velha,350262.0,1.0,0.0,2.0,41.7,Apartamento
Escola Agrícola,354000.0,2.0,0.0,1.0,59.0,Apartamento
Itoupava Seca,354200.0,1.0,0.0,1.0,40.5,Apartamento
Valparaiso,354990.0,2.0,0.0,1.0,67.0,Apartamento
Valparaiso,355000.0,2.0,0.0,1.0,66.0,Apartamento
Valparaiso,355000.0,2.0,0.0,1.0,74.0,Apartamento
Itoupavazinha,355000.0,3.0,0.0,2.0,70.0,Casa
Itoupavazinha,355000.0,2.0,0.0,2.0,70.6,Casa
Itoupava Norte,355000.0,2.0,2.0,2.0,79.7,Casa
Itoupava Norte,358000.0,2.0,0.0,1.0,58.0,Apartamento
Escola Agrícola,358400.0,2.0,0.0,1.0,55.0,Apartamento
Fortaleza,359000.0,3.0,0.0,1.0,79.0,Apartamento
Passo Manso,359500.0,2.0,2.0,1.0,90.0,Casa
Velha,360000.0,2.0,0.0,1.0,83.0,Casa
Fortaleza,360000.0,2.0,0.0,1.0,54.0,Apartamento
Fortaleza Alta,360000.0,2.0,0.0,1.0,59.9,Casa
Fortaleza,360000.0,2.0,0.0,1.0,55.9,Apartamento
Fortaleza,360000.0,2.0,0.0,1.0,55.9,Apartamento
Escola Agrícola,360000.0,2.0,0.0,1.0,84.0,Casa
Velha,360000.0,2.0,0.0,1.0,80.0,Casa
Salto Norte,360000.0,2.0,2.0,1.0,95.3,Casa
Passo Manso,360000.0,2.0,2.0,1.0,90.0,Casa
Itoupava Central,360000.0,2.0,1.0,1.0,75.0,Apartamento
Itoupava Central,364262.0,2.0,2.0,1.0,78.7,Apartamento
Itoupava Norte,366000.0,2.0,1.0,1.0,57.0,Apartamento
Escola Agrícola,366000.0,2.0,0.0,1.0,59.8,Apartamento
Fortaleza,367000.0,2.0,0.0,1.0,57.5,Apartamento
Fortaleza,367000.0,2.0,0.0,1.0,58.1,Apartamento
Fidelis,367000.0,3.0,1.0,1.0,70.8,Apartamento
Fidelis,367511.0,2.0,1.0,1.0,61.5,Apartamento
Itoupava Central,369000.0,2.0,1.0,1.0,71.0,Apartamento
Garcia,369990.0,3.0,1.0,2.0,88.5,Apartamento
Velha,370000.0,2.0,0.0,1.0,56.0,Apartamento
Passo Manso,370000.0,2.0,0.0,2.0,78.9,Casa
Salto Norte,370000.0,2.0,2.0,2.0,100.0,Casa
Velha,370000.0,2.0,1.0,2.0,72.0,Apartamento
Fortaleza Alta,370000.0,3.0,2.0,1.0,145.0,Casa
Itoupava Central,370618.0,2.0,1.0,1.0,61.0,Apartamento
Escola Agrícola,370765.0,2.0,0.0,1.0,59.0,Apartamento
Velha,371392.0,2.0,1.0,1.0,66.0,Apartamento
Velha,371392.0,2.0,1.0,1.0,66.0,Apartamento
Fortaleza,372000.0,2.0,1.0,1.0,57.5,Apartamento
Itoupava Central,373000.0,2.0,1.0,1.0,71.0,Apartamento
Itoupava Norte,374000.0,2.0,1.0,1.0,58.6,Apartamento
Escola Agrícola,374000.0,2.0,0.0,1.0,54.4,Apartamento
Itoupava Central,374165.0,2.0,0.0,1.0,57.0,Apartamento
Itoupava Central,374324.0,2.0,1.0,1.0,60.0,Apartamento
Escola Agrícola,374472.0,2.0,0.0,1.0,54.4,Apartamento
Escola Agrícola,374472.0,2.0,0.0,1.0,54.4,Apartamento
Itoupava Central,374862.0,2.0,1.0,1.0,60.0,Apartamento
Itoupava Central,374862.0,2.0,1.0,2.0,61.0,Apartamento
Itoupava Central,374865.0,2.0,1.0,1.0,60.0,Apartamento
Itoupavazinha,374990.0,2.0,0.0,0.0,70.0,Casa
Escola Agrícola,375000.0,2.0,1.0,1.0,64.0,Apartamento
Itoupavazinha,375000.0,2.0,0.0,2.0,70.1,Casa
Itoupavazinha,375000.0,2.0,0.0,1.0,72.1,Casa
Escola Agrícola,375480.0,2.0,0.0,1.0,59.0,Apartamento
Fidelis,377934.0,2.0,1.0,1.0,61.5,Apartamento
Fidelis,378067.0,2.0,1.0,1.0,61.5,Apartamento
Água Verde,379000.0,2.0,2.0,1.0,68.9,Casa
Itoupava Central,379000.0,2.0,1.0,1.0,71.1,Apartamento
Velha,379000.0,2.0,2.0,1.0,87.0,Casa
Escola Agrícola,379439.0,2.0,0.0,1.0,59.1,Apartamento
Escola Agrícola,379439.0,2.0,0.0,1.0,60.1,Apartamento
Escola Agrícola,380000.0,2.0,0.0,1.0,52.3,Apartamento
Escola Agrícola,380000.0,2.0,1.0,1.0,63.6,Apartamento
Velha Central,380000.0,2.0,2.0,2.0,68.0,Casa
Água Verde,380000.0,2.0,1.0,1.0,68.1,Casa
Água Verde,380000.0,2.0,0.0,1.0,52.3,Apartamento
Água Verde,380000.0,2.0,0.0,1.0,52.0,Apartamento
Ponta Aguda,380000.0,2.0,0.0,1.0,78.1,Casa
Fortaleza,380000.0,2.0,1.0,1.0,55.7,Apartamento
Escola Agrícola,380000.0,2.0,1.0,1.0,62.5,Apartamento
Itoupava Central,380000.0,2.0,0.0,1.0,64.0,Apartamento
Itoupava Central,380000.0,3.0,1.0,1.0,80.0,Apartamento
Itoupava Central,380000.0,3.0,1.0,1.0,80.0,Apartamento
Velha,380000.0,2.0,0.0,1.0,65.0,Apartamento
Passo Manso,380000.0,2.0,2.0,2.0,93.2,Casa
Fortaleza Alta,380000.0,3.0,2.0,1.0,100.0,Casa
Água Verde,380000.0,2.0,1.0,1.0,68.0,Casa
Escola Agrícola,380000.0,3.0,0.0,2.0,153.5,Casa
Itoupava Central,380000.0,3.0,1.0,2.0,78.0,Casa
Garcia,380000.0,3.0,1.0,1.0,109.0,Apartamento
Progresso,380000.0,3.0,1.0,2.0,300.0,Casa
Progresso,380000.0,3.0,1.0,4.0,311.0,Casa
Glória,380000.0,6.0,0.0,2.0,220.0,Casa
Progresso,380000.0,2.0,1.0,2.0,390.0,Casa
Itoupava Central,384990.0,2.0,1.0,2.0,77.0,Apartamento
Itoupava Norte,385000.0,2.0,2.0,0.0,69.0,Casa
Itoupava Norte,385000.0,2.0,2.0,1.0,75.0,Casa
Centro,385000.0,2.0,0.0,1.0,46.0,Apartamento
Salto Weissbach,385000.0,2.0,0.0,1.0,56.4,Apartamento
Salto Weissbach,385000.0,2.0,0.0,1.0,59.0,Apartamento
Salto Weissbach,385000.0,2.0,0.0,1.0,58.8,Apartamento
Água Verde,385000.0,2.0,0.0,2.0,72.0,Casa
Itoupava Central,385000.0,2.0,1.0,2.0,77.0,Apartamento
Itoupava Central,385000.0,2.0,1.0,1.0,82.0,Apartamento
Garcia,385000.0,2.0,1.0,1.0,78.3,Apartamento
Garcia,385000.0,2.0,0.0,1.0,110.0,Apartamento
Progresso,385000.0,6.0,0.0,2.0,248.0,Casa
Itoupava Central,385000.0,2.0,0.0,2.0,84.0,Casa
Itoupava Central,385000.0,2.0,0.0,2.0,84.0,Casa
Itoupava Central,385000.0,2.0,0.0,2.0,85.0,Casa
Fidelis,385406.0,2.0,1.0,1.0,61.0,Apartamento
Fidelis,388575.0,2.0,1.0,1.0,61.5,Apartamento
Fidelis,388699.0,2.0,1.0,1.0,61.5,Apartamento
Fidelis,388699.0,2.0,1.0,1.0,61.5,Apartamento
Escola Agrícola,390000.0,2.0,2.0,1.0,78.0,Casa
Vila Nova,390000.0,2.0,2.0,2.0,82.0,Casa
Velha,390000.0,2.0,0.0,2.0,63.0,Apartamento
Água Verde,390000.0,2.0,1.0,1.0,85.0,Apartamento
Velha,390000.0,3.0,1.0,2.0,93.0,Apartamento
Vila Nova,390000.0,3.0,0.0,1.0,173.0,Casa
Fidelis,392981.0,2.0,1.0,1.0,61.0,Apartamento
Fortaleza,395000.0,3.0,1.0,1.0,123.0,Casa
Velha,395000.0,1.0,0.0,1.0,48.0,Apartamento
Escola Agrícola,395000.0,2.0,2.0,1.0,79.0,Casa
Velha,395000.0,2.0,0.0,1.0,86.2,Apartamento
Velha,395000.0,2.0,0.0,1.0,59.0,Apartamento
Velha,395000.0,2.0,1.0,1.0,69.0,Apartamento
Itoupava Norte,395000.0,2.0,2.0,1.0,86.0,Casa
Itoupava Norte,395000.0,2.0,2.0,1.0,89.0,Casa
Fortaleza,395000.0,2.0,2.0,2.0,109.0,Casa
Fortaleza,395000.0,2.0,2.0,2.0,109.2,Casa
Glória,395000.0,6.0,2.0,4.0,300.0,Casa
Escola Agrícola,395313.0,2.0,0.0,2.0,60.1,Apartamento
Fidelis,396213.0,2.0,1.0,1.0,61.5,Apartamento
Fidelis,396340.0,2.0,1.0,1.0,61.5,Apartamento
Fidelis,396340.0,2.0,1.0,1.0,61.5,Apartamento
Itoupava Central,397000.0,2.0,2.0,1.0,112.0,Casa
Fidelis,397774.0,3.0,1.0,1.0,70.8,Apartamento
Itoupava Central,397774.0,3.0,1.0,2.0,70.0,Apartamento
Velha Central,398000.0,2.0,2.0,2.0,80.0,Casa
Itoupavazinha,399000.0,4.0,0.0,2.0,140.0,Casa
Vila Formosa,399000.0,3.0,1.0,1.0,92.9,Apartamento
Itoupavazinha,399000.0,4.0,0.0,2.0,140.0,Casa
Centro,399000.0,3.0,0.0,0.0,154.4,Apartamento
Centro,399000.0,3.0,0.0,0.0,154.4,Apartamento
Velha,399000.0,5.0,0.0,3.0,220.0,Casa
Valparaiso,399990.0,5.0,0.0,5.0,225.0,Casa
Itoupava Norte,400000.0,2.0,1.0,2.0,70.0,Apartamento
Velha,400000.0,2.0,2.0,1.0,70.0,Casa
Garcia,400000.0,2.0,0.0,1.0,78.0,Apartamento
Valparaiso,400000.0,6.0,0.0,3.0,240.0,Casa
Fidelis,400707.0,2.0,1.0,1.0,61.0,Apartamento
Ribeirão Fresco,400728.0,3.0,1.0,1.0,88.3,Apartamento
Fidelis,404002.0,3.0,1.0,1.0,70.8,Apartamento
Fidelis,404002.0,3.0,1.0,1.0,70.8,Apartamento
Fidelis,404004.0,2.0,1.0,1.0,61.5,Apartamento
Fidelis,404133.0,2.0,1.0,1.0,61.5,Apartamento
Fidelis,404133.0,2.0,1.0,1.0,61.5,Apartamento
Velha,405878.0,2.0,1.0,1.0,66.0,Apartamento
Fidelis,408588.0,2.0,1.0,1.0,61.0,Apartamento
Garcia,410000.0,2.0,1.0,1.0,63.0,Apartamento
Garcia,410000.0,2.0,1.0,1.0,63.0,Apartamento
Velha,410000.0,2.0,1.0,1.0,69.0,Apartamento
Velha Central,410000.0,2.0,2.0,2.0,102.6,Casa
Velha Central,410000.0,2.0,2.0,2.0,102.6,Casa
Velha Central,410000.0,2.0,2.0,2.0,105.0,Casa
Velha Central,410000.0,2.0,2.0,2.0,105.0,Casa
Velha Central,410000.0,3.0,1.0,2.0,123.3,Casa
Fidelis,411815.0,3.0,1.0,1.0,70.8,Apartamento
Fidelis,411951.0,2.0,1.0,1.0,61.5,Apartamento
Fidelis,412083.0,2.0,1.0,1.0,61.5,Apartamento
Fidelis,412083.0,2.0,1.0,1.0,61.5,Apartamento
Velha,415000.0,2.0,0.0,2.0,55.4,Apartamento
Fidelis,416627.0,2.0,1.0,1.0,61.0,Apartamento
Velha Central,418000.0,2.0,2.0,2.0,87.0,Casa
Centro,420000.0,2.0,1.0,0.0,56.1,Apartamento
Garcia,420000.0,3.0,0.0,1.0,110.0,Apartamento
Fortaleza,420000.0,2.0,2.0,2.0,94.0,Casa
Testo Salto,420000.0,3.0,1.0,1.0,75.4,Casa
Fortaleza,420000.0,2.0,1.0,2.0,65.0,Apartamento
Garcia,420000.0,2.0,0.0,1.0,58.0,Apartamento
Escola Agrícola,420000.0,2.0,1.0,1.0,62.0,Apartamento
Garcia,420000.0,2.0,0.0,1.0,57.0,Apartamento
Victor Konder,420000.0,2.0,1.0,1.0,94.8,Apartamento
Garcia,420000.0,3.0,0.0,1.0,97.3,Apartamento
Garcia,420000.0,3.0,0.0,1.0,97.0,Apartamento
Garcia,420000.0,3.0,0.0,1.0,97.0,Apartamento
Garcia,420000.0,3.0,0.0,1.0,97.0,Apartamento
Fortaleza Alta,420000.0,2.0,2.0,1.0,115.0,Casa
Velha,420000.0,3.0,1.0,2.0,98.8,Apartamento
Fidelis,420057.0,2.0,1.0,1.0,61.5,Apartamento
Escola Agrícola,420062.0,2.0,0.0,1.0,54.4,Apartamento
Fidelis,420191.0,2.0,1.0,1.0,61.5,Apartamento
Fidelis,420191.0,2.0,1.0,1.0,61.5,Apartamento
Itoupava Central,420911.0,3.0,1.0,2.0,106.4,Apartamento
Fortaleza,424000.0,2.0,1.0,1.0,60.9,Apartamento
Velha,424000.0,2.0,2.0,2.0,93.0,Casa
Itoupava Central,424202.0,3.0,1.0,1.0,70.0,Apartamento
Fidelis,424624.0,3.0,1.0,1.0,70.8,Apartamento
Fidelis,424624.0,3.0,1.0,1.0,70.8,Apartamento
Fidelis,424624.0,3.0,1.0,1.0,70.8,Apartamento
Fidelis,424826.0,2.0,1.0,1.0,61.0,Apartamento
Vila Nova,425000.0,2.0,1.0,1.0,93.0,Apartamento
Victor Konder,425000.0,2.0,0.0,1.0,68.0,Apartamento
Fortaleza,425000.0,2.0,0.0,1.0,51.0,Apartamento
Ponta Aguda,425000.0,2.0,0.0,1.0,67.8,Apartamento
Salto Norte,427000.0,2.0,0.0,1.0,119.0,Casa
Fidelis,427217.0,2.0,1.0,1.0,61.0,Apartamento
Fidelis,428324.0,2.0,1.0,1.0,61.5,Apartamento
Fidelis,428324.0,2.0,1.0,1.0,61.5,Apartamento
Água Verde,429000.0,5.0,1.0,2.0,222.0,Casa
Água Verde,429000.0,5.0,0.0,2.0,222.0,Casa
Fortaleza Alta,430000.0,2.0,0.0,2.0,72.6,Casa
Itoupava Seca,430000.0,1.0,0.0,1.0,51.0,Apartamento
Fortaleza,430000.0,2.0,1.0,1.0,72.2,Apartamento
Velha,430000.0,2.0,0.0,1.0,62.4,Apartamento
Velha,430000.0,2.0,0.0,1.0,62.4,Apartamento
Velha,430000.0,2.0,0.0,1.0,73.9,Apartamento
Boa Vista,430000.0,2.0,0.0,1.0,72.0,Casa
Victor Konder,430000.0,1.0,0.0,1.0,51.0,Apartamento
Victor Konder,430000.0,1.0,0.0,1.0,51.0,Apartamento
Victor Konder,430000.0,1.0,0.0,1.0,51.0,Apartamento
Itoupava Central,430000.0,2.0,0.0,1.0,62.7,Apartamento
Salto Norte,430000.0,2.0,1.0,1.0,74.0,Apartamento
Água Verde,430000.0,3.0,1.0,1.0,71.0,Apartamento
Garcia,430000.0,2.0,1.0,1.0,64.8,Apartamento
Vila Nova,430000.0,2.0,1.0,1.0,87.0,Apartamento
Itoupavazinha,430000.0,2.0,2.0,2.0,95.0,Casa
Ribeirão Fresco,430000.0,3.0,1.0,1.0,93.0,Apartamento
Itoupava Central,430000.0,2.0,2.0,3.0,130.0,Casa
Fidelis,430869.0,2.0,1.0,1.0,61.5,Apartamento
Fortaleza,431000.0,2.0,1.0,1.0,60.7,Apartamento
Garcia,435000.0,2.0,0.0,1.0,77.0,Apartamento
Vila Nova,435000.0,2.0,1.0,1.0,70.0,Apartamento
Itoupava Norte,435000.0,2.0,1.0,2.0,70.0,Apartamento
Vila Formosa,435000.0,3.0,1.0,1.0,92.9,Apartamento
Fortaleza,435100.0,4.0,0.0,4.0,130.0,Casa
Velha,439000.0,2.0,1.0,2.0,56.0,Apartamento
Tribess,439000.0,2.0,2.0,3.0,85.0,Casa
Tribess,439000.0,2.0,2.0,3.0,86.0,Casa
Garcia,439900.0,3.0,1.0,2.0,147.0,Casa
Itoupava Seca,440000.0,2.0,1.0,0.0,68.0,Apartamento
Itoupava Seca,440000.0,2.0,1.0,1.0,68.0,Apartamento
Testo Salto,440000.0,3.0,1.0,2.0,180.0,Casa
Fidelis,440119.0,2.0,1.0,1.0,61.0,Apartamento
Fidelis,441246.0,3.0,1.0,1.0,70.8,Apartamento
Fidelis,441246.0,3.0,1.0,1.0,70.8,Apartamento
Fidelis,441246.0,3.0,1.0,1.0,70.8,Apartamento
Fidelis,443881.0,2.0,1.0,1.0,61.5,Apartamento
Velha,444120.0,1.0,0.0,2.0,60.3,Apartamento
Centro,445000.0,1.0,0.0,2.0,44.0,Apartamento
Vila Nova,445000.0,2.0,1.0,1.0,77.0,Apartamento
Velha,445000.0,2.0,1.0,2.0,68.6,Apartamento
Fidelis,445582.0,3.0,1.0,2.0,70.8,Apartamento
